Localities	bioregion
Afghanistan 24	Palearctic
Albania 4	Palearctic
Algeria (?) 2	Palearctic
Algeria 288	Palearctic
Andorra 2	Palearctic
Armenia 26	Palearctic
Austria ? 2	Palearctic
Austria 46	Palearctic
Azerbaijan 5	Palearctic
Balearic Is 1	Palearctic
Basses Alpes 1	Palearctic
Belarus 2	Palearctic
Belgium 8	Palearctic
Bulgaria 16	Palearctic
Caucasus 40	Palearctic
China (name misspelled as <i>noggii</i>) 1	none
China 468	none
China/Kashmir? 1	none
Crete 2	Palearctic
Croatia 11	Palearctic
Cyprus 12	Palearctic
Czechia 4	Palearctic
Czechoslovakia 24	Palearctic
Daghestan 1	Palearctic
Denmark 5	Palearctic
Egypt ? 1	Palearctic
Egypt 86	Palearctic
Egypt? 1	Palearctic
Europe (not U.S.A.; see Baroni Urbani, 1977d: 91) 2	Palearctic
Europe (see Baroni Urbani, 1971c: 35 (note) 1	Palearctic
Europe 20	Palearctic
Finland 33	Palearctic
France ? 2	Palearctic
France (Corsica) 20	Palearctic
France 232	Palearctic
Georgia 21	Palearctic
Georgia, Armenia 1	Palearctic
Germany 86	Palearctic
Gibraltar 3	Palearctic
Great Britain 44	Palearctic
Greece (Crete) 5	Palearctic
Greece 101	Palearctic
Hungary 13	Palearctic
Iran 22	Palearctic
Iraq 17	Palearctic
Ireland 1	Palearctic
Israel 71	Palearctic
Israel? 1	Palearctic
Italy (Sardinia) 15	Palearctic
Italy (Sicily) 32	Palearctic
Italy 158	Palearctic
Japan 279	Palearctic
Jordan 6	Palearctic
Karakorum 1	Palearctic
Kazakhstan 179	Palearctic
Kazan 2	Palearctic
Korea 23	Palearctic
Kuwait 4	Palearctic
Kyrgyzstan 41	Palearctic
Latvia 2	Palearctic
Lebanon (caption to fig. 22 is misspelled <i>adonis</i>) 1	Palearctic
Lebanon 25	Palearctic
Malta 5	Palearctic
Oman 19	Palearctic
Poland 14	Palearctic
Portugal 14	Palearctic
Principe 1	Palearctic
Spain (Balearic Is.) 1	Palearctic
Spain (Balearic Is) 2	Palearctic
Spain 130	Palearctic
Tunisia 226	Palearctic
"Barbary" 1	Palearctic
Libya 20	Palaearctic
Luxembourg 6	Palaearctic
Moldova 1	Palaearctic
Mongolia 18	Palaearctic
Morocco 183	Palaearctic
Moroccos 1	Palaearctic
Muscat 1	Palaearctic
Netherlands 6	Palaearctic
North Korea 6	Palaearctic
North Ossetia 1	Palaearctic
Norway 3	Palaearctic
Republic Of Korea 1	Palaearctic
Romania 4	Palaearctic
Russia (diagnosis in key) 1	Palaearctic
