subfamily	tribe	genus	species	subspecies	status	senior synonym	fossil
Aenictinae	Aenictini	Aenictus	abeillei		valid		
Aenictinae	Aenictini	Aenictus	acerbus		valid		
Aenictinae	Aenictini	Aenictus	aitkenii		valid		
Aenictinae	Aenictini	Aenictus	alluaudi		valid		
Aenictinae	Aenictini	Aenictus	alluaudi	falcifer	valid		
Aenictinae	Aenictini	Aenictus	alticola		valid		
Aenictinae	Aenictini	Aenictus	ambiguus		valid		
Aenictinae	Aenictini	Aenictus	anceps		valid		
Aenictinae	Aenictini	Aenictus	annae		valid		
Aenictinae	Aenictini	Aenictus	aratus		valid		
Aenictinae	Aenictini	Aenictus	artipus		valid		
Aenictinae	Aenictini	Aenictus	arya		valid		
Aenictinae	Aenictini	Aenictus	asantei		valid		
Aenictinae	Aenictini	Aenictus	asiatica		synonym		
Aenictinae	Aenictini	Aenictus	asperivalvus		valid		
Aenictinae	Aenictini	Aenictus	bakeri		valid		
Aenictinae	Aenictini	Aenictus	batesi		synonym		
Aenictinae	Aenictini	Aenictus	bayoni		valid		
Aenictinae	Aenictini	Aenictus	bengalensis		synonym		
Aenictinae	Aenictini	Aenictus	bidentatus		synonym		
Aenictinae	Aenictini	Aenictus	binghami		valid		
Aenictinae	Aenictini	Aenictus	biroi		valid		
Aenictinae	Aenictini	Aenictus	bobaiensis		valid		
Aenictinae	Aenictini	Aenictus	boelianensis		synonym		
Aenictinae	Aenictini	Aenictus	bottegoi		valid		
Aenictinae	Aenictini	Aenictus	bottegoi	noctivagus	valid		
Aenictinae	Aenictini	Aenictus	brazzai		valid		
Aenictinae	Aenictini	Aenictus	breviceps		synonym		
Aenictinae	Aenictini	Aenictus	brevicornis		valid		
Aenictinae	Aenictini	Aenictus	buttelreepeni		valid		
Aenictinae	Aenictini	Aenictus	buttgenbachi		valid		
Aenictinae	Aenictini	Aenictus	camposi		valid		
Aenictinae	Aenictini	Aenictus	carolianus		valid		
Aenictinae	Aenictini	Aenictus	certus		valid		
Aenictinae	Aenictini	Aenictus	ceylonicus		valid		
Aenictinae	Aenictini	Aenictus	changmaianus		valid		
Aenictinae	Aenictini	Aenictus	chapmani		valid		
Aenictinae	Aenictini	Aenictus	clavatus		valid		
Aenictinae	Aenictini	Aenictus	clavatus	atripennis	valid		
Aenictinae	Aenictini	Aenictus	clavatus	kanariensis	valid		
Aenictinae	Aenictini	Aenictus	clavatus	sundaicus	valid		
Aenictinae	Aenictini	Aenictus	clavitibia		valid		
Aenictinae	Aenictini	Aenictus	clavitibia	facetus	valid		
Aenictinae	Aenictini	Aenictus	congolensis		valid		
Aenictinae	Aenictini	Aenictus	continuus		synonym		
Aenictinae	Aenictini	Aenictus	cornutus		valid		
Aenictinae	Aenictini	Aenictus	crucifer		valid		
Aenictinae	Aenictini	Aenictus	crucifer	tuberculatus	valid		
Aenictinae	Aenictini	Aenictus	currax		valid		
Aenictinae	Aenictini	Aenictus	decolor		valid		
Aenictinae	Aenictini	Aenictus	dentatus		valid		
Aenictinae	Aenictini	Aenictus	deuqueti		synonym		
Aenictinae	Aenictini	Aenictus	diclops		valid		
Aenictinae	Aenictini	Aenictus	dlusskyi		valid		
Aenictinae	Aenictini	Aenictus	doryloides		valid		
Aenictinae	Aenictini	Aenictus	elongatus		synonym		
Aenictinae	Aenictini	Aenictus	eugenii		valid		
Aenictinae	Aenictini	Aenictus	eugenii	caroli	valid		
Aenictinae	Aenictini	Aenictus	eugenii	henrii	valid		
Aenictinae	Aenictini	Aenictus	exiguus		synonym		
Aenictinae	Aenictini	Aenictus	exilis		valid		
Aenictinae	Aenictini	Aenictus	feae		valid		
Aenictinae	Aenictini	Aenictus	fergusoni		valid		
Aenictinae	Aenictini	Aenictus	foreli		valid		
Aenictinae	Aenictini	Aenictus	formosensis		synonym		
Aenictinae	Aenictini	Aenictus	fraterculus		unavailable		
Aenictinae	Aenictini	Aenictus	fuchuanensis		valid		
Aenictinae	Aenictini	Aenictus	furculatus		valid		
Aenictinae	Aenictini	Aenictus	furculatus	andrieui	valid		
Aenictinae	Aenictini	Aenictus	furibundus		valid		
Aenictinae	Aenictini	Aenictus	fuscipennis		valid		
Aenictinae	Aenictini	Aenictus	fuscovarius		valid		
Aenictinae	Aenictini	Aenictus	fuscovarius	laetior	valid		
Aenictinae	Aenictini	Aenictus	fuscovarius	magrettii	valid		
Aenictinae	Aenictini	Aenictus	fuscovarius	sagittarius	valid		
Aenictinae	Aenictini	Aenictus	gatesi		synonym		
Aenictinae	Aenictini	Aenictus	gibbosus		valid		
Aenictinae	Aenictini	Aenictus	gibbosus	ashaverus	valid		
Aenictinae	Aenictini	Aenictus	glabratus		valid		
Aenictinae	Aenictini	Aenictus	gleadowii		valid		
Aenictinae	Aenictini	Aenictus	gracilis		valid		
Aenictinae	Aenictini	Aenictus	grandis		valid		
Aenictinae	Aenictini	Aenictus	greeni		synonym		
Aenictinae	Aenictini	Aenictus	hamifer		valid		
Aenictinae	Aenictini	Aenictus	hamifer	spinosior	valid		
Aenictinae	Aenictini	Aenictus	henanensis		valid		
Aenictinae	Aenictini	Aenictus	hilli		valid		
Aenictinae	Aenictini	Aenictus	hodgsoni		synonym		
Aenictinae	Aenictini	Aenictus	hottai		valid		
Aenictinae	Aenictini	Aenictus	humeralis		valid		
Aenictinae	Aenictini	Aenictus	humeralis	chevalieri	valid		
Aenictinae	Aenictini	Aenictus	humeralis	viridans	valid		
Aenictinae	Aenictini	Aenictus	huonicus		valid		
Aenictinae	Aenictini	Aenictus	icarus		valid		
Aenictinae	Aenictini	Aenictus	icarus	incautus	valid		
Aenictinae	Aenictini	Aenictus	idoneus		valid		
Aenictinae	Aenictini	Aenictus	impressus		synonym		
Aenictinae	Aenictini	Aenictus	inconspicuus		valid		
Aenictinae	Aenictini	Aenictus	inflatus		valid		
Aenictinae	Aenictini	Aenictus	jacobsoni		valid		
Aenictinae	Aenictini	Aenictus	jarujini		valid		
Aenictinae	Aenictini	Aenictus	javanus		valid		
Aenictinae	Aenictini	Aenictus	karawaiewi		synonym		
Aenictinae	Aenictini	Aenictus	kenyensis		synonym		
Aenictinae	Aenictini	Aenictus	laeviceps		valid		
Aenictinae	Aenictini	Aenictus	latifemoratus		valid		
Aenictinae	Aenictini	Aenictus	latiscapus		valid		
Aenictinae	Aenictini	Aenictus	latiscapus	fumatus	valid		
Aenictinae	Aenictini	Aenictus	latiscapus	sauteri	valid		
Aenictinae	Aenictini	Aenictus	latro		synonym		
Aenictinae	Aenictini	Aenictus	leliepvrei		valid		
Aenictinae	Aenictini	Aenictus	leptotyphlatta		valid		
Aenictinae	Aenictini	Aenictus	levior		valid		
Aenictinae	Aenictini	Aenictus	lifuiae		valid		
Aenictinae	Aenictini	Aenictus	longi		valid		
Aenictinae	Aenictini	Aenictus	longi	taivanae	valid		
Aenictinae	Aenictini	Aenictus	luteus		valid		
Aenictinae	Aenictini	Aenictus	luteus	moestus	valid		
Aenictinae	Aenictini	Aenictus	luzoni		valid		
Aenictinae	Aenictini	Aenictus	mariae		valid		
Aenictinae	Aenictini	Aenictus	mariae	natalensis	valid		
Aenictinae	Aenictini	Aenictus	maroccanus		recombined		
Aenictinae	Aenictini	Aenictus	martini		synonym		
Aenictinae	Aenictini	Aenictus	mauritanicus		valid		
Aenictinae	Aenictini	Aenictus	mentu		valid		
Aenictinae	Aenictini	Aenictus	minutulus		valid		
Aenictinae	Aenictini	Aenictus	mocsaryi		valid		
Aenictinae	Aenictini	Aenictus	moebii		valid		
Aenictinae	Aenictini	Aenictus	moebii	sankisianus	valid		
Aenictinae	Aenictini	Aenictus	montanus		synonym		
Aenictinae	Aenictini	Aenictus	mutatus		valid		
Aenictinae	Aenictini	Aenictus	mutatus	pudicus	valid		
Aenictinae	Aenictini	Aenictus	nesiotis		valid		
Aenictinae	Aenictini	Aenictus	nganduensis		valid		
Aenictinae	Aenictini	Aenictus	nishimurai		valid		
Aenictinae	Aenictini	Aenictus	obscurus		valid		
Aenictinae	Aenictini	Aenictus	orientalis		valid		
Aenictinae	Aenictini	Aenictus	pachycerus		valid		
Aenictinae	Aenictini	Aenictus	pangantihoni		valid		
Aenictinae	Aenictini	Aenictus	papuanus		synonym		
Aenictinae	Aenictini	Aenictus	peguensis		valid		
Aenictinae	Aenictini	Aenictus	pfeifferi		valid		
Aenictinae	Aenictini	Aenictus	pharoa		valid		
Aenictinae	Aenictini	Aenictus	philiporum		valid		
Aenictinae	Aenictini	Aenictus	philippinensis		valid		
Aenictinae	Aenictini	Aenictus	piercei		valid		
Aenictinae	Aenictini	Aenictus	piltzi		synonym		
Aenictinae	Aenictini	Aenictus	porizonoides		valid		
Aenictinae	Aenictini	Aenictus	powersi		valid		
Aenictinae	Aenictini	Aenictus	prolixus		valid		
Aenictinae	Aenictini	Aenictus	pubescens		valid		
Aenictinae	Aenictini	Aenictus	punctiventris		valid		
Aenictinae	Aenictini	Aenictus	punctiventris	scutellaris	valid		
Aenictinae	Aenictini	Aenictus	punensis		valid		
Aenictinae	Aenictini	Aenictus	rabori		valid		
Aenictinae	Aenictini	Aenictus	raptor		valid		
Aenictinae	Aenictini	Aenictus	reyesi		valid		
Aenictinae	Aenictini	Aenictus	rhodiensis		valid		
Aenictinae	Aenictini	Aenictus	rixator		valid		
Aenictinae	Aenictini	Aenictus	rotundatus		valid		
Aenictinae	Aenictini	Aenictus	rotundatus	guineensis	valid		
Aenictinae	Aenictini	Aenictus	rotundatus	merwei	valid		
Aenictinae	Aenictini	Aenictus	rougieri		valid		
Aenictinae	Aenictini	Aenictus	sagei		valid		
