name	authors	year	valid
Acanthognathus brevicornis	Smith	1944	valid
Acanthognathus laevigatus	Galvis & Fernández	2009	valid
Acanthognathus lentus	Mann	1922	valid
Acanthognathus ocellatus	Mayr	1887	valid
Acanthognathus poinari	Baroni Urbani & De Andrade	1994	valid
Acanthognathus rudis	[no authors]	1969	valid
Acanthognathus stipulosus	[no authors]	1969	valid
Acanthognathus teledectus	[no authors]	1969	valid
Acanthomyrmex basispinosus	Moffett	1986	valid
Acanthomyrmex careoscrobis	Moffett	1986	valid
Acanthomyrmex concavus	Moffett	1986	valid
Acanthomyrmex crassispinus	Wheeler	1930	valid
Acanthomyrmex dusun	Wheeler	1919	valid
Acanthomyrmex dyak	Wheeler	1919	invalid
Acanthomyrmex ferox	Emery	1893	valid
Acanthomyrmex foveolatus	Moffett	1986	valid
Acanthomyrmex glabfemoralis	Zhou & Zheng	1997	valid
Acanthomyrmex humilis	Eguchi, Bui & Yamane	2008	valid
Acanthomyrmex laevis	Moffett	1986	valid
Acanthomyrmex luciolae	Emery	1893	valid
Acanthomyrmex mindanao	Moffett	1986	valid
Acanthomyrmex minus	Terayama, Ito & Gobin	1998	valid
Acanthomyrmex notabilis	Smith	1860	valid
Acanthomyrmex padanensis	Terayama, Ito & Gobin	1998	valid
Acanthomyrmex sulawesiensis	Terayama, Ito & Gobin	1998	valid
Acanthomyrmex thailandensis	Terayama	1995	valid
Acanthoponera crassa	[no authors]	1958	invalid
Acanthoponera goeldii	Forel	1912	valid
Acanthoponera minor	Forel	1899	valid
Acanthoponera mucronata	Roger	1860	valid
Acanthoponera peruviana	[no authors]	1958	valid
Acanthoponera plaumanni	Donisthorpe	1938	invalid
Acanthoponera spininodis	Weber	1939	invalid
Acanthostichus arizonensis	MacKay	1996	valid
Acanthostichus bentoni	MacKay	1996	valid
Acanthostichus brevicornis	Emery	1894	valid
Acanthostichus brevinodis	MacKay	1996	valid
Acanthostichus concavinodis	MacKay	1996	valid
Acanthostichus emmae	MacKay	1996	valid
Acanthostichus femoralis	Kusnezov	1962	valid
Acanthostichus flexuosus	MacKay	1996	valid
Acanthostichus fuscipennis	Emery	1895	valid
Acanthostichus hispaniolicus	De Andrade	1998	valid
Acanthostichus kirbyi	Emery	1895	valid
Acanthostichus laevigatus	MacKay	1996	valid
Acanthostichus laticornis	Forel	1908	valid
Acanthostichus lattkei	MacKay	1996	valid
Acanthostichus longinodis	Mackay	2004	valid
Acanthostichus niger	Santschi	1933	invalid
Acanthostichus punctiscapus	MacKay	1996	valid
Acanthostichus quadratus	Emery	1895	valid
Acanthostichus quirozi	MacKay	1996	valid
Acanthostichus ramosmexiae	Bruch	1924	invalid
Acanthostichus sanchezorum	MacKay	1985	valid
Acanthostichus serratulus	Smith	1858	valid
Acanthostichus skwarrae	Wheeler	1934	valid
Acanthostichus texanus	Forel	1904	valid
Acanthostichus townsendi	Ashmead	1906	invalid
Acanthostichus truncatus	MacKay	1996	valid
Acromyrmex ambiguus	Emery	1888	valid
Acromyrmex ameliae	De Souza, Soares & Della Lucia	2007	valid
Acromyrmex aspersus	Smith	1858	valid
Acromyrmex balzani	Emery	1890	valid
Acromyrmex biscutatus	Fabricius	1775	valid
Acromyrmex bucki	Wasmann	1931	invalid
Acromyrmex coronatus	Fabricius	1804	valid
Acromyrmex crassispinus	Forel	1909	valid
Acromyrmex diabolica	Santschi	1922	invalid
Acromyrmex diasi	Gonçalves	1983	valid
Acromyrmex disciger	Mayr	1887	valid
Acromyrmex echinatior	Forel	1899	valid
Acromyrmex emilii	Forel	1904	invalid
Acromyrmex evenkul	Bolton	1995	valid
Acromyrmex fracticornis	Forel	1909	valid
Acromyrmex gallardoi	Santschi	1920	invalid
Acromyrmex gallardoi	Santschi	1936	invalid
Acromyrmex guentheri	Forel	1893	invalid
Acromyrmex heyeri	Forel	1899	valid
Acromyrmex hispidus	Santschi	1925	valid
Acromyrmex hystrix	Latreille	1802	valid
Acromyrmex insinuator	Schultz, Bekkevold & Boomsma	1998	valid
Acromyrmex landolti	Forel	1885	valid
Acromyrmex laticeps	Emery	1905	valid
Acromyrmex lobicornis	Emery	1888	valid
