5523,"Abdul-Rassoul, M. S.; Dawah, H. A.; Othman, N. Y.",1978.,197804,"Records of insect collection (Part I) in the Natural History Research Centre, Baghdad.",Bull. Nat. Hist. Res. Cent. Univ. Baghdad 7(2):1-6.,"{Formicidae pp. 4-6.} Paper deals with Cicadelloidea, Dermaptera, and Formicidae.",PSW
6608,"Abe, M.; Smith, D. R.",1991.,19910731,The genus-group names of Symphyta (Hymenoptera) and their type species.,Esakia 31:1-115.,{Page 53: Myrmicium.} And Myrmecium (misspelling).,PSW(part)
5816,"Abe, T.",1974.,19740330,Notes on the fauna of ants in Iriomote Island. [In Japanese.],"Pp. 105-111 in: Ikehara, S. (ed.)  Ecological studies of nature conservation of the Ryukyu Islands (1). Report for the fiscal year of 1973. [In Japanese.]  Naha, Okinawa: University of the Ryukyus, 278 pp.",,PSW
5817,"Abe, T.",1977.,197703,A preliminary study on the ant fauna of the Tokara Islands and Amami-Oshima.,"Pp. 93-102 in: Ikehara, S. (ed.)  Ecological studies of nature conservation of the Ryukyu Islands - (III).  Naha, Okinawa: University of the Ryukyus, 202 pp.",,PSW
5411,"Abe, T.; Maeda, A.",1977.,197703,Fauna and density of ants in sugarcane fields of the southern part of Okinawa Island.,"Pp. 75-91 in: Ikehara, S. (ed.)  Ecological studies of nature conservation of the Ryukyu Islands - (III).  Naha, Okinawa: University of the Ryukyus, 202 pp.",,PSW
5489,"Abe, T.; Nakamori, M.; Uezu, K.",1976.,197603,Fauna and density of ants of a coastal limestone area in Okinawa Island.,"Pp. 113-120 in: Ikehara, S. (ed.)  Ecological studies of nature conservation of the Ryukyu Islands - (II).  Naha, Okinawa: University of the Ryukyus, 141 pp.",,PSW
7724,"Abensperg-Traun, M.; Steven, D.",1995.,199506,The effects of pitfall trap diameter on ant species richness (Hymenoptera: Formicidae) and species composition of the catch in a semi-arid eucalypt woodland.,Aust. J. Ecol. 20:282-287.,,Seen(PSW)
5931,"Acosta Salmerón, F. J.","1978 (""1977"").",197804,Notas sobre hormigas de la provincia de Jaén (Hym. Formicidae).,Bol. Asoc. Esp. Entomol. 1:133-140.,,PSW
3357,"Acosta Salmerón, F. J.","1982 (""1981"").",19820428,"Sobre los caracteres morfólogicos [sic] de Goniomma, con algunas sugerencias sobre su taxonomía (Hym., Formicidae).",EOS. Rev. Esp. Entomol. 57:7-14.,,PSW
2575,"Acosta Salmerón, F. J.; Martínez, M. D.",1982.,198212,"Consideraciones sobre la dulosis en el género Strongylognathus Mayr, 1853. (Hym. Formicidae).",Bol. Asoc. Esp. Entomol. 6:121-124.,"Authors as Acosta, F. J., Martínez, M. D.",PSW
3451,"Acosta Salmerón, F. J.; Martínez, M. D.",1984.,198406,"Algunas anomalías en Leptothorax rabaudi Bond., 1818 [sic] (Hym., Formicidae).",Bol. Asoc. Esp. Entomol. 8:41-45.,"Authors as Acosta, F. J., Martínez, M. D.",PSW
